lincs_id	chembl_id
BRD-A13195221	CHEMBL2184646
BRD-A13346522	CHEMBL1794151
BRD-A13346522	CHEMBL2959788
BRD-A13650332	CHEMBL1620722
BRD-A13650332	CHEMBL2821716
BRD-A13807286	CHEMBL1782032
BRD-A13807286	CHEMBL288542
BRD-A13807286	CHEMBL671676
BRD-A13946108	CHEMBL1135500
BRD-A13946108	CHEMBL15770
BRD-A13946108	CHEMBL627370
BRD-A13964793	CHEMBL1049132
BRD-A13964793	CHEMBL602850
BRD-A13982089	CHEMBL1179051
BRD-A13982089	CHEMBL1226204
BRD-A14014306	CHEMBL1470633
BRD-A14014306	CHEMBL3050908
BRD-A14208071	CHEMBL1201286
BRD-A14208071	CHEMBL1273158
BRD-A14240607	CHEMBL53929
BRD-A14240607	CHEMBL692926
BRD-A14395271	CHEMBL1088
BRD-A14395271	CHEMBL754162
BRD-A14566392	CHEMBL1126131
BRD-A14566392	CHEMBL13030
BRD-A14566392	CHEMBL627161
BRD-A14574269	CHEMBL3779782
BRD-A14574269	CHEMBL63102
BRD-A14574269	CHEMBL706641
BRD-A14792000	CHEMBL1904197
BRD-A14792000	CHEMBL2952052
BRD-A14966924	CHEMBL1255177
BRD-A14966924	CHEMBL36591
BRD-A14966924	CHEMBL657231
BRD-A14969012	CHEMBL1196161
BRD-A14969012	CHEMBL1265190
BRD-A14999564	CHEMBL1229266
BRD-A14999564	CHEMBL1634913
BRD-A15010982	CHEMBL41721
BRD-A15010982	CHEMBL670309
BRD-A15034104	CHEMBL1619590
BRD-A15034104	CHEMBL2818421
BRD-A15070535	CHEMBL1619312
BRD-A15070535	CHEMBL2821169
BRD-A15131297	CHEMBL1604571
BRD-A15131297	CHEMBL2778763
BRD-A15435692	CHEMBL3414559
BRD-A15435692	CHEMBL60859
BRD-A15435692	CHEMBL703042
BRD-A15501135	CHEMBL1545584
BRD-A15501135	CHEMBL2405819
BRD-A15530910	CHEMBL1742440
BRD-A15530910	CHEMBL2869171
BRD-A15909516	CHEMBL1697771
BRD-A15909516	CHEMBL2900533
