compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
Cysteine	NA	Caenorhabditis elegans	N2	1 mM	9	NA	NA	NA	25643626	NA	CYSTEINE	CHEMBL863, CHEMBL54943	NA	DB00151, DB04443, DB09485
Spermidine	NA	Drosophila melanogaster	w1118	1 mM	30	NA	NA	NA	19801973	NA	SPERMIDINE	CHEMBL19612	1102	DB03566
N-propanol	NA	Caenorhabditis elegans	N2	4 mM	95.5	NA	NA	NA	22279556	NA	NA	CHEMBL14687	NA	DB03175
Pomegranate juice	NA	Drosophila melanogaster	Canton S	0.1	8	NA	Female	NA	25566518	Mix	NA	NA	NA	NA
Rotenone	NA	Caenorhabditis elegans	N2	100 nM	10	NA	Hermaphrodite	NA	24199155	NA	ROTENONE	CHEMBL429023	6758	DB11457
Quercetin	NA	Caenorhabditis elegans	N2	100 µM	19	15	NA	NA	18024103	NA	QUERCETIN	CHEMBL50	5280343	DB04216
D-glycerol	NA	Saccharomyces cerevisiae	PSY316	1 M	49.8	NA	NA	NA	12391171	NA	NA	CHEMBL692	NA	DB09462
Fumarate	NA	Caenorhabditis elegans	N2	10 mM	16	NA	NA	NA	23472183	NA	NA	NA	5460307	NA
Beta-Estradiol	NA	Caenorhabditis elegans	NA	33 µM	7	NA	NA	NA	24134630	NA	NA	CHEMBL135	NA	DB00783
Citrate	Sodium citrate; Citric acid	Mytilina brevispina	NA	0.25% on alternate days	51.7	NA	NA	NA	804507	NA	Citric acid	CHEMBL1261	311	DB04272
Beta-caryophyllene	NA	Caenorhabditis elegans	N2	25 uM	11.2	NA	NA	NA	24835194	NA	BETA-CARYOPHYLLENE	CHEMBL445740	5281515	NA
Trichostatin A	NA	Drosophila melanogaster	Canton S	10 µM	23.3	37	Male	NA	15346199	NA	NA	CHEMBL99	NA	DB04297
Panax notoginseng main root polysaccharide	NA	Caenorhabditis elegans	N2	0.1 mg/ml	21	NA	NA	NA	26234580	Mix	NA	NA	NA	NA
Allantoin	NA	Caenorhabditis elegans	N2	250 µM	21.9	NA	NA	NA	26676933	NA	ALLANTOIN	CHEMBL593429	204	DB11100
Lactic acid	NA	Drosophila melanogaster	Oregon R	1M	-32.7	NA	Male	NA	110607	NA	LACTIC ACID	CHEMBL1200559	612, 19789253	DB04398, DB09294
Homocysteine	NA	Caenorhabditis elegans	N2	5 mM	7	NA	NA	NA	25643626	NA	HOMOCYSTEINE	CHEMBL310604	778, 49791978	DB04422
Shengmai yin	SM	Caenorhabditis elegans	N2	48.0 g/L	47.3	NA	NA	NA	24952637	Mix	NA	NA	NA	NA
N-nitrosodimethylamine	NA	Caenorhabditis elegans	N2	50 µM	5.5	NA	NA	NA	25556763	NA	N-NITROSODIMETHYLAMINE	CHEMBL117311	6124	NA
Omega-6	_-6  Polyunsaturated fatty acids; Omega-6 PUFAs; Omega-6 Fatty Acid	Caenorhabditis elegans	N2	10 µM	16	NA	NA	NA	23392608	NA	NA	NA	56842208	NA
2,4-dinitrophenol	DNP	Drosophila melanogaster	Oregon R	0.008	20.2	0	NA	NA	16266268	NA	2,4-DINITROPHENOL	CHEMBL273386	1493	DB04528
Paraquat	N,N_-dimethyl-4,4_-bipyridinium dichloride	Caenorhabditis elegans	N2	0.1 mM	58	48	NA	NA	21151885	NA	PARAQUAT	CHEMBL74469	15939	NA
Hesperidin	NA	Saccharomyces cerevisiae	BY4741	5 µM	15.4	NA	NA	NA	22484922	NA	HESPERIDIN	CHEMBL449317	10621	DB04703
Carnosine	NA	Drosophila melanogaster	D-32	200 mg/l	24.3	NA	Male	NA	12447464	NA	NA	CHEMBL242948	NA	DB11695
Chicoric acid	NA	Caenorhabditis elegans	N2	100 µM	21	8	NA	NA	24244361	NA	CHICORIC ACID	CHEMBL29660	5470299	NA
Buformin	NA	Rattus norvegicus	LIO	5 mg/day	7	5.5	Female	NA	14618027	NA	BUFORMIN	CHEMBL39736	2468	DB04830
Vitamin E	D,1-alpha-tocopherol	Caenorhabditis elegans	N2	400 µg/ml	4	NA	NA	NA	3374177	NA	VITAMIN E	CHEMBL47, CHEMBL3989727	NA	DB00163
EGTA	1,2-di(2 aminoethoxy)ethane tetra-acetic acid	Mytilina brevispina	NA	0.25% on alternate days	75.9	NA	NA	NA	804507	NA	NA	CHEMBL240390	NA	NA
Nebivolol	NA	Mus musculus	C3B6F1	0.27 g/kg diet	6.4	NA	Male	NA	23314750	NA	NEBIVOLOL	CHEMBL434394	71301	DB04861
Liuwei dihuang wan	LW	Caenorhabditis elegans	N2	4.2 g/L	12.6	NA	NA	NA	24952637	Mix	NA	NA	NA	NA
Huperzine A	NA	Caenorhabditis elegans	N2	300 µM	13.8	NA	NA	NA	23523941	NA	HUPERZINE A	CHEMBL1255901	9794806	DB04864, DB01928, DB05510
Mianserin	NA	Caenorhabditis elegans	N2	50 µM	31	NA	NA	NA	18033297	NA	MIANSERIN	CHEMBL6437	4184	DB06148
Ginkgo biloba extract	EGb 761	Rattus norvegicus	Fischer 344	50 mg/kg	17.4	NA	Male	NA	9469738	Mix	NA	NA	NA	NA
DAPH	NA	Caenorhabditis elegans	NA	13 µM	15	NA	NA	NA	24134630	NA	DAPH	CHEMBL268868	1697	NA
N-acetyl-L-cysteine	NA	Drosophila melanogaster	Oregon R	1 mg/ml	14.1	15.1	Male	NA	9447249	NA	NA	CHEMBL600	NA	DB06151, DB05436
Polyphenols	NA	Mus musculus	C57BL/6J	NA	6.3	NA	Male	NA	22265987	Mix	NA	NA	NA	NA
Lonidamine	NA	Caenorhabditis elegans	NA	5 µM	8	8	NA	NA	21932172	NA	LONIDAMINE	CHEMBL1257030	39562	DB06266, DB03762
Cyproterone acetate	NA	Caenorhabditis elegans	NA	33 µM	23	NA	NA	NA	24134630	NA	CYPROTERONE ACETATE	CHEMBL139835	9880	DB04839
Astaxanthin	NA	Caenorhabditis elegans	N2	1 mM	28.6	21.7	NA	NA	22013497	NA	ASTAXANTHIN	CHEMBL1255871	5281224	DB06543
Betaine	Trimethylglycine	Caenorhabditis elegans	N2	1 mM	9	NA	NA	NA	25643626	NA	BETAINE	CHEMBL95889	248	DB06756
4-phenylbutyrate	PBA	Drosophila melanogaster	Canton S	5 mM	40	41	NA	NA	11792861	NA	NA	CHEMBL1469	NA	DB06819, DB02000, DB12600
Fisetin	NA	Saccharomyces cerevisiae	PSY316AT MAT_	10 µM	55	NA	NA	NA	12939617	NA	FISETIN	CHEMBL31574	5281614	DB07795
Tyrphostin 9	NA	Drosophila melanogaster	Oregon R	300-500 µM	17.3	NA	NA	NA	22363408	NA	NA	CHEMBL7917	NA	NA
Sodium hypophosphite	NA	Zaprionus paravittiger	NA	1 mM	-89.8	-94.9	Female	NA	3721207	NA	SODIUM HYPOPHOSPHITE	CHEMBL2146115	23675242	NA
D-beta-hydroxybutyrate	D-_HB	Caenorhabditis elegans	N2	20 mM	26	NA	NA	NA	25127866	NA	NA	CHEMBL1162484	NA	NA
Naphthazarin	NA	Caenorhabditis elegans	N2	100 µM	11	12	NA	NA	21765926	NA	NA	CHEMBL274056	NA	NA
Trametinib	NA	Drosophila melanogaster	white Dahomey	15.6 µM	12	NA	NA	NA	26119340	NA	TRAMETINIB	CHEMBL2103875	11707110	DB08911
Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside	NA	Caenorhabditis elegans	N2	50 µM	17	NA	NA	NA	26433219	NA	NA	NA	5317025	NA
Melatonin	NA	Mus musculus	BALB/c	NA	18.1	NA	Female	NA	8290600	NA	MELATONIN	CHEMBL45	896	DB01065, DB08189
Methylene blue	MB	Mus musculus	UM-HET3	27mg/kg diet	0	6	Female	NA	24245565	NA	METHYLENE BLUE	CHEMBL191083, CHEMBL550495	NA	DB09241
Coenzyme Q10	Q10	Caenorhabditis elegans	N2	50 µg/ml	6	NA	NA	NA	14706236	NA	NA	CHEMBL454801	NA	DB09270
Tannic acid	NA	Drosophila melanogaster	Oregon R	1 mg/ml	0	NA	Male	NS	8326745	NA	TANNIC ACID	CHEMBL506247	16129778	DB09372
Xylose	NA	Caenorhabditis elegans	N2	10 mM	6	NA	NA	NA	25643626	NA	XYLOSE	CHEMBL502135	135191	DB09419
Tartaric acid	NA	Drosophila melanogaster	Oregon R	0.1M	-72	NA	Male	NA	110607	NA	TARTARIC ACID	CHEMBL1200861	439655	DB09459
Glaucarubinone	NA	Caenorhabditis elegans	N2	100 nM	7.9	9	NA	NA	21264793	NA	GLAUCARUBINONE	CHEMBL458347	441796	NA
Glycerol	NA	Caenorhabditis elegans	N2	1%	-36	NA	NA	NA	19883616	NA	NA	CHEMBL692	NA	DB09462, DB04077
Olive Oil	NA	Rattus norvegicus	NA	NA	18	NA	NA	NA	22498298	Mix	OLIVE OIL	NA	NA	NA
Apple	NA	Saccharomyces cerevisiae	MCY4/KlLSM4::kanMX4	1 gr	78.5	NA	NA	NS	22970337	Mix	NA	NA	NA	NA
Sesame	NA	Drosophila melanogaster	Oregon R	2 mg/ml	12	NA	Male	NA	23291977	Mix	NA	NA	NA	NA
Cocoa	Cocoa powder	Drosophila melanogaster	rosy^+5	50 g/l medium	NA	NA	Male	NA	19083435	Mix	COCOA	NA	NA	NA
Proanthocycanidin	NA	Caenorhabditis elegans	N2	67 µg/ml	36.6	NA	NA	NA	22509764	Mix	NA	NA	NA	NA
Calcium gluconate	NA	Drosophila melanogaster	Oregon R	0.001 M	-3.7	NA	Male	NA	110607	NA	CALCIUM GLUCONATE	CHEMBL2106119	9290, 10982878	DB11126
L-Theanine	NA	Caenorhabditis elegans	N2	0.1 µM	3.6	4.4	NA	NA	22422488	NA	NA	CHEMBL3039113	NA	DB12444
Polydatin	NA	Caenorhabditis elegans	N2	1 mM	30	NA	NA	NA	24305800	NA	NA	CHEMBL142652	NA	DB11263
Platycladus orientalis seed extract	NA	Caenorhabditis elegans	N2	500 µg/ml	26.5	NA	NA	NA	23523941	Mix	NA	NA	NA	NA
Dimethyl formamide	DMF	Caenorhabditis elegans	N2	0.0075	33	54	NA	NA	23313473	NA	NA	CHEMBL268291	NA	DB01844
Curcumin	NA	Drosophila melanogaster	Canton S	100 µM	19	NA	Female	NA	20645870	NA	CURCUMIN	CHEMBL116438	5281767	DB11672
Galactose	D-galactose	Musca domestica	NA	20 mg/ml	-27.1	-27.1	Male	NA	15547319	NA	GALACTOSE	CHEMBL1233058	439357	DB11735
Epicatechin	NA	Drosophila melanogaster	Oregon R	0.01 mg/ml	1.8	NA	Male	NS	8326745	NA	NA	CHEMBL583912	NA	DB12039
Icariin	NA	Caenorhabditis elegans	N2	45 µM	20.7	NA	NA	NA	22216122	NA	ICARIIN	CHEMBL553204	5318997	NA
